	SRR7685881_control_Rep2	SRR7685880_control_Rep1	SRR7685879_treated_Rep2	SRR7685878_treated_Rep1
1700010I02Rik	0	0	0	0
1700010I14Rik	0	0	0	0
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
1700010N08Rik	0	0	0	0
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	0	0
1700012C14Rik	0	0	0	0
1700012D01Rik	0	81.38	0	542.06
1700012D16Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012J15Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700016A09Rik	0	0	0	0
1700016B01Rik	0	0	0	0
1700016G22Rik	0	0	0	0
1700016H13Rik	0	0	0	0
1700016K05Rik	0	0	0	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	0	96.92	69.9	104.99
1700017G19Rik	0	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	0	0	0	0
1700017M07Rik	0	0	0	0
1700017N19Rik	0	0	0	0
1700018A04Rik	0	0	0	0
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018F24Rik	0	0	0	0
1700019A02Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	0	0	0	0
1700019F05Rik	0	0	0	0
1700019G24Rik	0	0	0	0
1700019J19Rik	0	0	0	0
1700019P21Rik	0	0	0	0
1700020A23Rik	0	0	0	0
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020L13Rik	0	0	0	0
1700020L24Rik	0	0	0	0
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700021F02Rik	0	0	0	0
1700021G15Rik	0	0	0	0
1700021N21Rik	0	0	0	0
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H16Rik	0	0	0	0
1700022N22Rik	0	0	0	0
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700024B05Rik	0	0	0	0
1700024B18Rik	0	0	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	0	0	0	0
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025D23Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	13.24	0	13.44	182.85
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	0	0	0
1700025O08Rik	0	0	0	0
1700026D11Rik	0	0	0	0
1700026F02Rik	0	0	0	0
1700026J12Rik	0	0	0	0
1700026J14Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	0	0	0
1700028B04Rik	0	0	0	0
1700028D13Rik	0	0	0	0
1700028E10Rik	0	0	0	0
1700028I16Rik	0	0	0	0
1700028J19Rik	0	0	0	0
1700028K03Rik	0	0	0	0
1700028M03Rik	0	0	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	0	0	0	0
1700029J03Rik	0	0	0	0
1700029M03Rik	0	0	0	0
1700029M20Rik	0	0	0	0
1700029N11Rik	0	0	0	0
1700030A11Rik	0	0	0	0
1700030C10Rik	100.09	0	0	0
1700030C12Rik	0	0	0	0
1700030C14Rik	0	0	0	0
1700030F04Rik	0	0	0	0
1700030J22Rik	0	0	0	0
1700030K09Rik	0	0	61.7	0
1700030L20Rik	0	0	0	0
1700030M09Rik	0	0	0	0
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0	0
1700031A10Rik	0	0	0	0
1700031F05Rik	0	0	0	0
1700031L13Rik	0	0	0	0
1700031M16Rik	0	0	0	0
1700031P21Rik	0	0	0	0
1700034B16Rik	0	0	0	0
1700034E13Rik	0	0	0	0
1700034G24Rik	0	0	0	0
1700034H15Rik	0	0	0	0
1700034J05Rik	0	0	0	0
1700034K08Rik	0	0	0	0
1700036G14Rik	0	0	0	0
1700037C18Rik	0	0	0	0
1700039E22Rik	0	0	0	0
1700039M10Rik	0	0	0	0
1700039O17Rik	0	0	0	0
1700040D17Rik	0	0	0	0
1700040F15Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042O10Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	0	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	0	0	0	0
1700047E10Rik	0	0	0	0
1700047G03Rik	0	0	0	0
1700047L14Rik	0	0	0	0
1700047M11Rik	0	0	0	0
1700048F04Rik	0	0	0	0
1700048M11Rik	0	0	0	0
1700048O14Rik	0	0	0	0
1700048O20Rik	0	0	0	0
1700049E15Rik	0	0	0	0
1700049E17Rik1	0	0	0	0
1700049E17Rik2	0	0	0	0
1700049E22Rik	0	0	0	0
1700051A21Rik	0	0	0	0
1700052I22Rik	0	0	0	0
1700054A03Rik	0	0	0	0
1700054K19Rik	0	0	0	0
1700054M17Rik	0	0	0	0
1700055C04Rik	0	0	0	0
1700055D18Rik	0	0	0	0
1700056E22Rik	0	0	0	0
1700057H21Rik	0	0	0	0
1700060C16Rik	0	0	0	0
1700060C20Rik	0	0	0	0
1700061F12Rik	0	0	0	0
1700061I17Rik	0	0	0	0
1700061J23Rik	0	0	0	0
1700061N14Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	0	0
1700063H04Rik	0	0	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	0	0	0	0
1700065D16Rik	0	0	0	0
1700065I16Rik	0	0	0	0
1700065J11Rik	0	0	0	0
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066C05Rik	0	0	0	0
1700066J03Rik	0	0	0	0
1700066M21Rik	42.81	0	0	0
1700066N21Rik	0	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	0	0	0	0
1700069L16Rik	0	0	0	0
1700069P05Rik	0	0	0	0
1700071G01Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700071M16Rik	0	0	0	0
1700072B07Rik	0	0	0	0
1700074H08Rik	0	0	0	0
1700080N15Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700083H02Rik	0	0	0	0
1700084D21Rik	0	0	0	0
1700084F23Rik	0	0	0	0
1700084J12Rik	0	0	0	0
1700084M14Rik	0	0	0	0
1700085C21Rik	0	0	0	0
1700086L19Rik	0	0	0	0
1700086O06Rik	0	0	0	53.02
1700086P04Rik	0	0	0	0
1700087I21Rik	0	0	0	0
1700087M22Rik	0	0	0	0
1700088E04Rik	0	0	0	0
1700091H14Rik	0	0	0	0
1700092C10Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	0	0	0	0
1700093K21Rik	0	0	0	0
1700094J05Rik	0	191.7	0	0
1700094M24Rik	0	0	0	0
1700095A21Rik	0	0	0	0
1700095B10Rik	0	0	0	0
1700095J03Rik	0	0	0	0
1700095J07Rik	0	0	0	0
1700095J12Rik	0	0	0	0
1700095K22Rik	0	0	0	0
1700096J18Rik	0	0	0	0
1700096K18Rik	0	0	0	0
1700097N02Rik	0	0	0	0
1700099I09Rik	261.12	0	0	0
1700100I10Rik	0	0	0	0
1700100L14Rik	0	0	0	0
1700101I11Rik	0	0	0	0
1700101O22Rik	0	0	0	0
1700102H20Rik	0	0	0	0
1700102P08Rik	0	0	0	0
1700104L18Rik	0	0	0	0
1700108F19Rik	0	0	0	0
1700108J01Rik	0	0	0	0
1700109G14Rik	0	0	0	0
1700109G15Rik	0	0	0	0
1700109H08Rik	0	0	0	0
1700109I08Rik	0	0	0	0
1700109K24Rik	0	0	0	0
1700110C19Rik	0	0	0	0
1700110I01Rik	0	0	0	0
1700110I07Rik	0	0	0	0
1700111N16Rik	0	0	0	0
1700112D23Rik	0	0	0	0
1700112H15Rik	0	0	0	0
1700112J05Rik	0	0	0	0
1700112J16Rik	0	0	0	0
1700113A16Rik	0	0	0	0
1700113B09Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700116B05Rik	0	0	0	0
1700119H24Rik	0	0	0	0
1700120C14Rik	0	0	0	0
1700120G07Rik	0	0	0	0
1700120K04Rik	0	0	0	0
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122C19Rik	0	0	0	0
1700122H20Rik	0	0	0	0
1700122O11Rik	0	0	0	0
1700123J17Rik	0	0	0	0
1700123K08Rik	0	0	0	0
1700123O12Rik	0	0	0	0
1700123O20Rik	170.43	0	173.08	346.35
1700123O21Rik	0	0	0	0
1700124L16Rik	0	0	0	0
1700125G02Rik	0	0	0	0
1700125G22Rik	0	0	0	0
1700125H03Rik	0	0	0	0
1700126H18Rik	0	0	0	0
1700128A07Rik	0	0	0	0
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	0	0	0	0
1810007C17Rik	0	0	0	0
1810007D17Rik	0	0	0	0
1810008I18Rik	0	0	0	0
1810009A15Rik	0	0	0	321.03
1810009J06Rik	0	0	0	0
1810010H24Rik	0	0	0	0
1810012K16Rik	0	0	0	0
1810013D15Rik	0	0	0	0
1810014B01Rik	118.72	0	0	0
1810018F18Rik	0	0	0	0
1810019D21Rik	0	0	0	0
1810019N24Rik	0	0	0	0
1810021B22Rik	0	0	0	0
1810024B03Rik	0	0	0	0
1810030O07Rik	0	0	0	0
1810034E14Rik	0	0	0	0
1810035K13Rik	0	0	0	0
1810037I17Rik	0	0	0	0
1810041H14Rik	0	0	0	0
1810044D09Rik	0	0	0	0
1810049I09Rik	0	0	0	0
1810053B23Rik	0	0	0	0
1810055G02Rik	0	0	81.25	0
1810062G17Rik	0	0	0	0
1810062O18Rik	0	174.05	0	0
1810063I02Rik	0	0	0	0
1810064F22Rik	0	0	0	0
1810065E05Rik	0	0	0	0
1810073O08Rik	0	0	0	0
2010001A14Rik	0	0	230.51	0
2010001M07Rik	0	0	0	0
2010003K11Rik	0	0	0	0
2010004M13Rik	0	0	0	0
2010009K17Rik	0	0	0	0
2010010A06Rik	0	0	0	0
2010016I18Rik	0	0	0	0
2010103J01Rik	0	0	0	0
2010106C02Rik	0	0	0	0
2010106E10Rik	0	0	0	0
2010109A12Rik	0	0	0	0
2010308F09Rik	0	0	0	0
2010310C07Rik	0	0	0	0
2010315B03Rik	0	0	0	0
2200002D01Rik	0	0	345.42	345.74
2200002J24Rik	0	0	0	0
2210016L21Rik	0	0	0	50.4
2210039B01Rik	0	0	0	0
2210404E10Rik	0	0	0	0
2210406O10Rik	0	0	0	0
2210408F21Rik	0	0	0	0
2210408I21Rik	0	0	0	0
2210409D07Rik	0	0	0	0
2210409E12Rik	0	0	0	0
2210414B05Rik	0	0	0	0
2210416O15Rik	0	0	41.27	0
2210417A02Rik	0	0	0	0
2210418O10Rik	0	0	0	0
2210420H20Rik	0	0	0	0
2300002M23Rik	0	0	0	0
2300009A05Rik	0	0	0	0
2310001H17Rik	0	0	0	0
2310001K24Rik	0	0	0	0
2310002D06Rik	0	0	0	0
2310002F09Rik	0	0	0	0
2310002L09Rik	0	0	0	0
2310003N18Rik	0	0	0	0
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	0	0
2310008N11Rik	0	0	0	0
2310009B15Rik	0	0	0	0
2310010J17Rik	0	0	0	0
2310011J03Rik	159.51	0	0	0
2310015D24Rik	0	0	0	0
2310016D03Rik	0	0	0	0
2310016G11Rik	0	0	0	0
2310020H05Rik	0	0	0	0
2310022A10Rik	203.9	0	0	71.04
2310022B05Rik	38.85	36.45	39.44	39.49
2310030A07Rik	0	0	0	0
2310030G06Rik	0	265	0	0
2310033P09Rik	0	0	0	0
2310034O05Rik	0	0	0	0
2310039H08Rik	0	0	0	0
2310039L15Rik	0	0	0	0
2310040G24Rik	0	0	0	0
2310043L19Rik	0	0	0	0
2310043M15Rik	0	0	0	0
2310043O21Rik	0	0	0	0
2310057J18Rik	0	0	0	0
2310057M21Rik	0	0	35.13	0
2310058D17Rik	0	0	0	0
2310061I04Rik	0	225.72	0	0
2310065F04Rik	0	0	0	0
2310068J16Rik	0	0	0	0
2310069B03Rik	0	0	0	0
2310069G16Rik	0	0	0	0
2310075C17Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2410002F23Rik	65.84	264.98	452.77	0
2410004B18Rik	0	0	0	0
2410004I01Rik	0	0	0	0
2410004P03Rik	0	0	0	0
2410006H16Rik	553.2	465.77	0	0
2410012E07Rik	0	0	0	0
2410017I17Rik	0	0	0	0
2410018L13Rik	0	0	0	0
2410021H03Rik	0	0	0	0
2410022M11Rik	0	0	0	0
2410137M14Rik	0	0	0	0
2500002B13Rik	0	0	0	0
2500004C02Rik	0	0	0	0
2510002D24Rik	0	410.46	0	0
2510009E07Rik	118.41	0	0	0
2510039O18Rik	0	0	47.98	0
2610005L07Rik	0	0	0	0
2610008E11Rik	0	0	0	0
2610016A17Rik	0	0	0	0
2610020C07Rik	0	73.38	0	0
2610027K06Rik	0	0	0	0
2610028E06Rik	0	0	0	0
2610028H24Rik	0	0	0	0
2610029K11Rik	0	0	0	0
2610035D17Rik	0	0	0	0
2610035F20Rik	0	0	0	0
2610042L04Rik	0	0	0	0
2610206C17Rik	0	0	0	0
2610300M13Rik	0	0	0	0
2610306M01Rik	0	0	0	0
2610307P16Rik	0	0	0	0
2610316D01Rik	0	0	0	0
2610318N02Rik	0	0	0	0
2610507I01Rik	0	0	0	0
2610528J11Rik	0	0	0	0
2700038G22Rik	0	0	0	107.9
2700046A07Rik	0	0	0	0
2700049A03Rik	28.34	0	44.82	0
2700054A10Rik	0	0	0	0
2700062C07Rik	132.36	0	0	0
2700089I24Rik	0	0	0	0
2700097O09Rik	0	0	0	123.81
2700099C18Rik	311.68	0	0	351.45
2810001A02Rik	0	0	0	0
2810001G20Rik	0	0	0	0
2810004N23Rik	35	110.72	56.26	0
2810013P06Rik	0	0	0	0
2810021J22Rik	0	336.6	33.62	0
2810025M15Rik	199.06	0	0	0
2810029C07Rik	0	0	73.44	0
2810032G03Rik	0	0	0	0
2810047C21Rik1	0	0	0	0
2810403D21Rik	0	0	0	0
2810404M03Rik	0	0	0	0
2810405F17Rik	0	0	0	0
2810408A11Rik	0	0	0	0
2810408I11Rik	238.33	223.58	0	0
2810414N06Rik	0	0	0	0
2810429I04Rik	0	0	0	0
2810442N19Rik	0	0	0	0
2810454H06Rik	0	0	0	0
2810459M11Rik	0	0	0	0
2810471M01Rik	0	0	0	0
2900005J15Rik	0	0	0	0
2900009J06Rik	0	0	0	0
2900026A02Rik	0	0	0	0
2900040C04Rik	0	0	0	0
2900052N01Rik	0	0	0	0
2900057B20Rik	0	0	0	0
2900060B14Rik	0	0	0	0
2900060N12Rik	0	0	124.37	0
2900076A07Rik	63.99	168.33	0	0
2900079G21Rik	0	0	0	0
2900089D17Rik	0	0	0	0
2900092C05Rik	0	0	0	0
2900093K20Rik	0	0	0	0
3010001F23Rik	0	0	0	0
3010003L21Rik	0	484.74	0	0
3100003L05Rik	0	0	0	0
3110004A20Rik	0	0	0	0
3110006O06Rik	0	0	0	0
3110009E18Rik	0	0	0	0
3110009F21Rik	0	0	0	0
3110015C05Rik	0	0	0	0
3110039M20Rik	0	0	0	0
3110040M04Rik	0	0	0	0
3110040N11Rik	0	0	0	0
3110045C21Rik	0	0	0	0
3110070M22Rik	0	0	0	0
3110082I17Rik	0	0	94.09	417.06
3110082J24Rik	0	0	0	0
3110099E03Rik	0	0	0	0
3200001D21Rik	0	0	0	0
3222401L13Rik	0	0	0	0
3300002I08Rik	0	0	0	0
3300002P13Rik	0	0	0	0
3300005D01Rik	0	0	0	0
3425401B19Rik	0	0	0	0
3632454L22Rik	0	0	0	0
3830403N18Rik	0	0	0	0
3830408C21Rik	0	0	227.22	0
3830432H09Rik	0	0	0	0
4122401K19Rik	0	0	0	0
4631405J19Rik	0	0	0	0
4632404H12Rik	0	0	0	0
4632427E13Rik	0	18.17	91.19	70.14
4632428C04Rik	0	0	0	0
4732414G09Rik	0	0	0	0
4732419C18Rik	0	0	0	0
4732471J01Rik	0	0	0	0
4732490B19Rik	0	0	0	0
4732491K20Rik	0	0	0	0
4732496C06Rik	0	0	0	0
4833407H14Rik	0	0	0	0
4833411C07Rik	0	0	0	0
4833412C05Rik	0	0	0	0
4833417C18Rik	0	0	115.58	0
4833418N02Rik	0	0	0	0
4833419F23Rik	0	0	274.12	0
4833420G17Rik	50.43	0	0	0
4833422C13Rik	0	0	0	0
4833427F10Rik	0	0	0	0
4833428L15Rik	0	0	0	0
4833438C02Rik	0	0	0	0
4833439L19Rik	194.43	0	0	0
4921504A21Rik	0	0	0	0
4921504E06Rik	0	0	0	0
4921507G05Rik	0	0	0	0
4921508D12Rik	0	0	0	0
4921509C19Rik	0	0	0	0
4921509O07Rik	0	0	0	0
4921511C10Rik	0	0	0	0
4921511I17Rik	0	0	0	0
4921513I03Rik	0	0	0	0
4921515E04Rik	0	0	0	0
4921517D22Rik	0	0	0	0
4921518K17Rik	0	0	0	0
4921524J17Rik	0	0	0	0
4921524L21Rik	0	0	0	0
4921525O09Rik	0	0	0	0
4921528I07Rik	0	0	0	0
4921531C22Rik	0	0	0	0
4921531P14Rik	0	0	0	0
4921533I20Rik	0	0	0	0
4921534H16Rik	0	0	0	0
4921536K21Rik	0	0	0	0
4921539E11Rik	0	0	0	0
4922502N22Rik	0	0	0	0
4930401C15Rik	0	0	0	0
4930401G09Rik	0	0	0	0
4930401O10Rik	0	0	0	0
4930401O12Rik	0	0	0	0
4930402F06Rik	0	0	0	0
4930402F11Rik	0	0	0	0
4930402K13Rik	0	0	0	0
4930404A05Rik	0	0	0	0
4930404I05Rik	0	0	0	0
4930405A10Rik	0	0	0	0
4930405A21Rik	0	0	0	0
4930405D11Rik	0	0	0	0
4930405J17Rik	0	0	0	0
4930405L22Rik	0	0	0	0
4930405O22Rik	0	0	0	0
4930406D18Rik	0	0	0	0
4930407G08Rik	0	0	0	0
4930407I10Rik	0	0	0	0
4930407I19Rik	0	0	0	0
4930412B13Rik	0	0	0	0
4930412E21Rik	0	0	0	0
4930412M03Rik	0	0	0	0
4930413E15Rik	0	0	0	0
4930413F20Rik	0	0	0	0
4930414N06Rik	0	0	0	0
4930417O13Rik	0	0	0	0
4930417O22Rik	0	0	0	0
4930419G24Rik	0	0	0	0
4930422M22Rik	0	0	131.97	0
4930423D24Rik	0	0	0	0
4930423M02Rik	0	0	0	0
4930425K10Rik	0	0	0	0
4930425L21Rik	0	0	0	0
4930425O10Rik	0	0	0	0
4930426D05Rik	0	0	0	0
4930426L09Rik	0	0	0	0
4930428D20Rik	0	0	0	0
4930428E07Rik	0	0	0	0
4930428O21Rik	0	0	0	0
4930429C20Rik	0	0	0	0
4930429D17Rik	0	0	0	0
4930429F24Rik	0	0	0	0
4930429H19Rik	0	0	0	0
4930430F21Rik	0	0	0	0
4930431F10Rik	0	0	0	0
4930431F12Rik	0	0	0	0
4930431P03Rik	0	0	0	0
4930431P19Rik	0	0	0	0
4930431P22Rik	0	0	0	0
4930432J09Rik	0	0	0	0
4930432L08Rik	0	0	0	0
4930432M17Rik	0	0	0	0
4930432O09Rik	0	0	0	0
4930433B08Rik	0	0	0	0
4930433I11Rik	0	0	0	0
4930433N12Rik	0	0	0	0
4930434J06Rik	0	0	0	0
4930435F18Rik	0	0	0	0
4930437M23Rik	0	0	0	0
4930438A08Rik	0	0	0	0
4930438E09Rik	0	0	0	0
4930440C22Rik	0	0	0	0
4930440I19Rik	0	0	0	0
4930441H08Rik	0	0	0	0
4930441J16Rik	0	0	0	0
4930442J19Rik	0	0	0	0
4930442L01Rik	0	0	0	0
4930443O20Rik	0	0	0	0
4930444A19Rik	0	0	0	0
4930444P10Rik	0	0	0	0
4930445N18Rik	0	0	0	0
4930447A16Rik	0	0	0	0
4930447C04Rik	0	0	67.24	0
4930447F24Rik	0	0	0	0
4930447J18Rik	0	0	0	0
4930447K03Rik	0	0	0	0
4930447N08Rik	0	0	0	0
4930448C13Rik	0	0	0	0
4930448E22Rik	0	0	0	0
4930448F12Rik	0	0	0	0
4930448H16Rik	0	0	0	0
4930448I06Rik	0	0	0	0
4930448I18Rik	0	0	0	0
4930448K20Rik	0	0	0	0
4930449E01Rik	0	0	0	0
4930449E18Rik	0	0	0	0
4930449I24Rik	0	0	0	0
4930451E10Rik	0	0	0	0
4930451I11Rik	0	0	0	0
4930452A19Rik	0	0	0	0
4930452G13Rik	0	0	0	0
4930452N14Rik	0	0	0	0
4930453H23Rik	0	0	0	0
4930453L07Rik	0	0	0	0
4930453N24Rik	134.77	0	0	0
4930455B14Rik	0	0	0	0
4930455C13Rik	0	0	0	0
4930455H04Rik	0	0	0	0
4930455J16Rik	0	0	0	0
4930456L15Rik	0	0	0	0
4930459C07Rik	0	0	0	0
4930459L07Rik	0	0	0	0
4930461G14Rik	0	0	0	0
4930463O16Rik	0	0	0	0
4930465M20Rik	0	0	0	0
4930467J12Rik	0	0	0	0
4930467K11Rik	0	0	0	0
4930469K13Rik	0	0	0	0
4930470H14Rik	0	0	0	0
4930470O06Rik	0	0	0	0
4930470P17Rik	0	0	0	0
4930471C04Rik	0	0	0	0
4930471E19Rik	0	0	0	0
4930471G03Rik	0	0	0	0
4930471G24Rik	0	0	0	0
4930471L23Rik	0	0	0	0
4930471M09Rik	0	0	0	0
4930473A02Rik	0	0	0	0
4930473H19Rik	0	0	0	0
4930473O22Rik	0	0	0	0
4930474G06Rik	0	0	0	0
4930474H20Rik	0	0	0	0
4930474M22Rik	0	0	0	0
4930474N05Rik	0	0	0	0
4930474N09Rik	0	0	0	0
4930477N07Rik	0	0	0	0
4930478L05Rik	0	0	0	0
4930478P22Rik	0	0	0	0
4930479D17Rik	0	0	0	0
4930480E11Rik	0	0	0	0
4930480K15Rik	0	0	0	0
4930480M12Rik	0	0	0	0
4930481A15Rik	0	0	0	0
4930483J18Rik	0	0	0	0
4930483O08Rik	0	0	0	0
4930484H19Rik	0	0	0	0
4930486F22Rik	0	0	0	0
4930486I03Rik	0	0	0	0
4930486L24Rik	0	0	0	0
4930487D11Rik	0	0	0	0
4930488B22Rik	0	0	0	0
4930500A05Rik	0	0	0	0
4930500F04Rik	0	0	0	0
4930500H12Rik	0	0	0	0
4930500L23Rik	0	0	0	0
4930502A04Rik	0	0	0	0
4930502E09Rik	0	0	0	0
4930503E14Rik	0	0	0	0
4930503E24Rik	0	0	0	0
4930503F20Rik	0	0	0	0
4930503L19Rik	0	0	0	0
4930503O07Rik	0	0	0	0
4930504C09Rik	0	0	0	0
4930505A04Rik	0	0	0	0
4930505G20Rik	0	0	0	0
4930505K13Rik	0	0	0	0
4930505K14Rik	0	0	0	0
4930505M18Rik	0	0	0	0
4930505N22Rik	0	0	0	0
4930506A18Rik	0	0	0	0
4930506C21Rik	0	0	0	0
4930507D05Rik	0	0	0	0
4930507D10Rik	0	0	0	0
4930509E16Rik	0	0	0	0
4930509G22Rik	0	0	0	0
4930509J09Rik	0	0	0	0
4930509K18Rik	0	0	0	0
4930511A02Rik	0	0	0	0
4930511E03Rik	0	0	0	0
4930511M06Rik	0	0	0	0
4930512H18Rik	0	0	0	0
4930512J16Rik	0	0	0	0
4930512M02Rik	0	0	0	0
4930513D17Rik	0	0	0	0
4930513L16Rik	0	0	0	0
4930513N10Rik	0	0	0	0
4930513O06Rik	0	0	0	0
4930515B02Rik	0	0	0	0
4930515G01Rik	0	0	0	0
4930515L19Rik	0	0	0	0
4930517E11Rik	0	0	0	0
4930517G24Rik	0	0	0	0
4930517M08Rik	0	0	0	0
4930518J21Rik	0	0	0	0
4930518P08Rik	0	0	0	0
4930519D14Rik	0	0	0	0
4930519F16Rik	0	0	0	0
4930519F24Rik	0	0	0	0
4930519G04Rik	0	0	0	0
4930519H02Rik	0	0	0	0
4930519K11Rik	0	0	0	0
4930519L02Rik	0	0	0	0
4930520O04Rik	0	0	0	0
4930520P13Rik	0	0	0	0
4930521E06Rik	0	0	0	0
4930521O11Rik	0	0	0	0
4930521O17Rik	0	0	0	0
4930522H14Rik	0	0	0	0
4930522L14Rik	0	0	0	0
4930522O17Rik	0	0	0	0
4930523C07Rik	0	0	0	0
4930523O13Rik	0	0	0	0
